show_id,type,title,country,release_year,rating,listed_in,description,country_1,country_2,country_3,country_4,country_5,country_count,listed_in_1,listed_in_2,listed_in_3,listed_in_4,typeyears
s1398,TV Show,Paatal Lok,India,2020,18+,"Drama, International","A down and out cop lands the case of a lifetime when four suspects are nabbed in the assassination attempt of a prime time journalist. The case turns out to be a devious maze where nothing is what it looks like. The pursuit of it leads him to the dark netherworld - the 'Paatal Lok', and to shocking discoveries in the past of the four suspects.",India,,,,,1,Drama,International,,,TV Show2020
s1420,TV Show,One Mississippi,United States,2017,18+,Comedy,"Love is in the air when we pick up with Tig, Bill & Remy, living together again in Mississippi. It's a season of new beginnings and new relationships for each of them. Tig’s back on the radio, but her outspoken point of view proves controversial for the local market. A chance to take a bigger stage in New Orleans comes with more reach, and responsibility.",United States,,,,,1,Comedy,,,,TV Show2017
s1421,TV Show,One Mic Stand,India,2019,16+,"Arts, Entertainment, and Culture, Comedy, International","This season, Sapan Verma brings on Bhuvan Bam, Taapsee Pannu, Richa Chadha, Vishal Dadlani and Dr. Shashi Tharoor to make their stand-up comedy debut with the help of Zakir Khan, Kunal Kamra, Angad Ranyal, Rohan Joshi and Ashish Shakya.",India,,,,,1,Arts,Entertainment and Culture,Comedy,International,TV Show2019
s1440,Movie,Odeya (4K UHD),India,2019,13+,"Drama, International","Hero Gajendra owns a transport company and also takes care of local residents, citizens and poor people with utmost care and affection. He and his four brothers lead a happy life helping the needy and protecting them from anti-social elements.",India,,,,,1,Drama,International,,,Movie2019
s1441,Movie,Odeya,India,2019,NR,"Drama, International","Hero Gajendra owns a transport company and also takes care of local residents, citizens and poor people with utmost care and affection. He and his four brothers lead a happy life helping the needy and protecting them from anti-social elements.",India,,,,,1,Drama,International,,,Movie2019
s1471,Movie,Notebook,India,2019,ALL,"Drama, International, Romance","Kabir comes to Kashmir to be a school teacher. The school is situated in the middle of the remote Wuller lake, lacking basic amenities and attended by just a handful of students. At the school Kabir finds a notebook left behind by the previous year's teacher Firdaus and that changes his entire life. Happy and heart-warming Notebook is about two people finding love in the most unexpected way.",India,,,,,1,Drama,International,Romance,,Movie2019
s1478,Movie,No Place to Hide: The Rehtaeh Parsons Story,Canada,2015,13+,"Documentary, Special Interest","Rehtaeh Parsons, a 15 year old student from Nova Scotia, was raped by four schoolboys while drunk at a sleepover. A photo of her rape soon began circulating online. Through the eyes of her parents, this film re-examines these alarming events, which ultimately led to Rehtaeh's suicide. A shocking testament to police indifference, the stigma of sexual assault and the effects of cyber bullying.",Canada,,,,,1,Documentary,Special Interest,,,Movie2015
s1499,Movie,NGK,India,2019,ALL,Drama,"Suriya plays the title role Nandha Gopalan Kumaran, who has completed M.Tech, Ph.D doing organic farming for his living and do social work without any returns, leaving the corporate job, living a happy life with his parents and wife Sai Pallavi. At one point of time, opposition party's Bala Singh induces the idea of joining him in politics and circumstances led him to join the party too.",India,,,,,1,Drama,,,,Movie2019
s1508,Movie,Neeti Palta - Almost Sanskari,India,2019,18+,Comedy,"Come and laugh at the complicated inner workings of a comedian's mind as she shares a very personal journey from childhood to never growing up. From her not-strictly-traditional upbringing by her mom and army dad to buying condoms for her older brother, arranged marriages to society's expectations from her that she gleefully fails to meet.",India,,,,,1,Comedy,,,,Movie2019
s1515,Movie,Nawabzaade,India,2018,13+,"Comedy, International","Three best friends fall in love with the same girl and fight among themselves to win her affections. But, they soon realize that their beloved is much more than her exterior of a simple girl.",India,,,,,1,Comedy,International,,,Movie2018
s1545,Movie,My Name is Salt,"Switzerland, India",2013,ALL,"Arts, Entertainment, and Culture, Documentary, Special Interest","Year after year, just after the monsoon season has finished, thousands of families travel to a bleak desert in Gujerat, India, where they will stay for an endless eight months and extract salt from the earth, using the same painstaking, manual techniques as generations before them. Director Farida Pacha spent a season with one of these families, observing the very particular rhythms of their lives",Switzerland,India,,,,2,Arts,Entertainment and Culture,Documentary,Special Interest,Movie2013
s1572,Movie,Mumbai Pune Mumbai 3,India,2018,13+,"Comedy, Drama, International",They fell in love in the first part got married in the second and now its time to extend this most loved family. Gautam and Gauri are expectant parents and the film unfolds this journey of today's couple who will walk this path towards parenthood.,India,,,,,1,Comedy,Drama,International,,Movie2018
s1574,Movie,Muklawa,India,2019,13+,"Comedy, Drama, International",Muklawa takes us back to the times when it was a common tradition for the girl to stay back at her parent's house from a few months to up to a year after her wedding.,India,,,,,1,Comedy,Drama,International,,Movie2019
s1581,Movie,Mr. Family Man,India,2020,16+,"Arts, Entertainment, and Culture, Comedy","Being a SuperMan may be easy. Being a SpiderMan may be simple. But being a FamilyMan is the most difficult thing ever! Solving a problem without any repercussions, taking responsibilities without any pressure and growing a tummy without any worry a Family Man is what the world needs now. Come let's dive into the world of one such Family Man, Praveen Kumar.",India,,,,,1,Arts,Entertainment and Culture,Comedy,,Movie2020
s1587,TV Show,Mozart in the Jungle,United States,2018,18+,"Comedy, Drama","New melodies arise as Rodrigo & Hailey take their relationship public. Hailey struggles to prove herself as a conductor, while Rodrigo fights to keep his inspiration alive. Thomas joins a start-up orchestra in Queens that challenges Gloria.",United States,,,,,1,Comedy,Drama,,,TV Show2018
s1626,Movie,Monster,India,2019,ALL,"Comedy, Drama",A compassionate man who believes that earth is for every living creature gets troubled by a rat and tries to kill it. Did he kill it or let it go free is the crux of the story.,India,,,,,1,Comedy,Drama,,,Movie2019
s1650,Movie,Missing,India,2018,13+,"International, Suspense","Set on the theme 'nothing is what it seems', Missing is a thrilling tale about a couple, Mr. & Mrs. Dubey (essayed by Manoj and Tabu), and their 3-year-old daughter, Titli, who has gone missing at a beach resort in Mauritius. As the police get involved in the search, the suspense only increases with different people, different viewpoints and different versions about the missing child.",India,,,,,1,International,Suspense,,,Movie2018
s1652,TV Show,Mirzapur,India,2020,16+,"Action, Drama, Suspense","In Mirzapur, revenge runs darker than blood. There is one title, the King of Mirzapur, but many takers. Munna feels invincible after escaping from the wedding massacre. Guddu and Golu are nowhere to be found. Akhandanand’s ambitions soar as he eyes political power. Going beyond Purvanchal to the power corridors of Lucknow and the streets of Bihar, there’s one question – who will rule Mirzapur?",India,,,,,1,Action,Drama,Suspense,,TV Show2020
s1677,Movie,Middle Class Melodies,India,2020,16+,"Comedy, Drama","A comedy drama depicting the congenial lives of the middle class in a village and the ambitions of a young man who moves to a nearby city to pursue his dream of owning a hotel. The story surrounds middle class families, their dreams, beliefs, struggles and hope presented in a light hearted dramedy.",India,,,,,1,Comedy,Drama,,,Movie2020
s1703,Movie,MCA (Middle Class Abbayi),India,2017,13+,"Drama, International",Nani(Nani) a middle-class guy who stays with his sister in law(Bhumika). He leads a happy go lucky life with his girlfriend(Sai Pallavi) but things change all of a sudden when Bhumika who is a government servant lands into problems with a dreaded criminal(Naresh Vijay) in Warangal. Rest of the story is as to how a simple guy like Nani confronts the dreaded gangster and saves his sister in law.,India,,,,,1,Drama,International,,,Movie2017
s1707,Movie,Maximum Ride,United States,2016,PG-13,"Action, Science Fiction","Maximum Ride is the extraordinary journey of six DNA-enhanced young orphans with the ability to fly - on a mission to rescue the youngest of their flock while discovering, scientific diabolical secrets of how they came to exist.",United States,,,,,1,Action,Science Fiction,,,Movie2016
s1715,Movie,Mathu Vadalara,India,2019,16+,Drama,"Babu is a delivery boy living with his friends Yesu and Abhi. Due to his meagre salary, he decides to quit, but then Yesu gives him an idea. The idea, however, soon spirals out of control and Babu finds himself deep in trouble. Will he survive the consequences of his own actions?",India,,,,,1,Drama,,,,Movie2019
s1749,TV Show,Man's World,India,2015,16+,Comedy,"What if women treated men, the way men treat women? It is a story about walking a mile in their shoes, in that world. Kiran, the protagonist, believes the world is really unfair to men. Fed up, he prays for the world to flip and for men and women to interchange places. As they say, be careful what you wish for.",India,,,,,1,Comedy,,,,TV Show2015
s1775,TV Show,Made In Heaven,India,2019,16+,"Drama, International","Made In Heaven chronicles the lives of Tara and Karan, two wedding planners in Delhi. India is a potent blend of old and new. Tradition jostles with modern aspirations against the backdrop of big fat Indian weddings revealing many secrets and many lies. The supposedly liberal fabric of the upper crust unravels as the duo navigate through arranged marriages, dowry transactions and virginity tests.",India,,,,,1,Drama,International,,,TV Show2019
s1784,Movie,Luv Ka The End,India,2011,18+,"Comedy, Drama, International","This is a young anti rom com kind of movie focussing on, Rhea Dialdas and Luv Nanda. On the eve of her 18th birthday, they plan to take their relationship to the 'next level', but she accidentally finds out that Luv is not really the nice guy she thought he was. Humiliated and hurt, she decides to teach him a few kick-ass lessons he will never forget and sets out to do so with her friends.",India,,,,,1,Comedy,Drama,International,,Movie2011
s1797,Movie,"Love, Kennedy",United States,2017,PG,Faith and Spirituality,"Kennedy Hansen is a 15 year old girl with three goals, drive a car, date boys and be a cheerleader. Even though she contracts a terrible disease, Kennedy is able to triump over her obstacles and make her dreams come true.",United States,,,,,1,Faith and Spirituality,,,,Movie2017
s1800,Movie,Love Simple,United States,2011,16+,Drama,Adam and Seta fall madly in love after meeting in a Brooklyn laundromat. She suffers from Lupus. He's stuck at home caring for his chronically ill father. Both lie through their teeth to avoid having to reveal they are anything but perfect.,United States,,,,,1,Drama,,,,Movie2011
s1811,TV Show,Lost In Oz,"United Kingdom, Canada, United States",2018,ALL,Kids,"13 new episodes of the multi-Emmy Award-Winning series LOST IN OZ take Dorothy, Toto, and their friends to new, magical, and perilous lands, as well as some surprisingly familiar worlds. They'll make new friends, face new enemies, and reunite with loved ones from Emerald City and beyond!",United Kingdom,Canada,United States,,,3,Kids,,,,TV Show2018
s1845,TV Show,Little Big Awesome,United States,2018,ALL,Kids,"Little Big Awesome follows Gluko and Lennon, the two best friends ever of all time in the history of everything.  While having weird and wonderful adventures around Townopolis, these besties help the citizens live their best lives, even if helping sometimes causes more problems than it solves.",United States,,,,,1,Kids,,,,TV Show2018
s1898,Movie,LAW,India,2020,16+,Suspense,"There are umpteen stories that involve crime and investigations. Sometimes, the case even gets dismissed due to lack of evidence and the accused are set free. However ‘Law’ is a paradigm shift from the rest in this genre. Nandhini, a law student who is caught in a precarious situation fights for justice for a gruesome crime that took place.",India,,,,,1,Suspense,,,,Movie2020
s1919,TV Show,Kung Fu Panda: The Paws of Destiny,United States,2019,7+,Kids,"Now famously known as the Four Constellations the panda kids are summoned by the Emperor to the Forbidden City, making Po fear the kids might not need his teachings anymore. But when friends turn to foes, all our heroes will need to draw from their Chi and all their Kung Fu knowledge to defeat evil in an explosive and epic battle.",United States,,,,,1,Kids,,,,TV Show2019
s1922,Movie,KROOS (4K UHD),Germany,2019,G,"Documentary, Special Interest","KROOS is a look behind the scenes of the closed-off world of international football, featuring footage and interviews with icons like Zinédine Zidane, Pep Guardiola, Luka Modri?, Sergio Ramos and the singer Robbie Williams.",Germany,,,,,1,Documentary,Special Interest,,,Movie2019
s1923,Movie,KROOS,Germany,2019,13+,"Documentary, Special Interest","There are only a few iconic football stars being constantly admired across the globe for their art of handling a ball and controlling a game, winning basically all the relevant titles. There are a hand full of players in each generation and Toni Kroos is one of them.",Germany,,,,,1,Documentary,Special Interest,,,Movie2019
s1931,Movie,Knights of Badassdom,United States,2014,R,"Action, Comedy, Fantasy",Live-action role players conjure up a demon from Hell by mistake and they must deal with the consequences.,United States,,,,,1,Action,Comedy,Fantasy,,Movie2014
s1956,Movie,Kesari,India,2019,16+,"Action, Drama, Historical","Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897.",India,,,,,1,Action,Drama,Historical,,Movie2019
s1966,Movie,Kapatadhaari (4K UHD),India,2021,13+,Suspense,A passionate traffic police who is bored of his routine job stumbles across some skeletons which ignite his soulless life. When he probes into the case he comes across a cop who had investigated the case in the past.,India,,,,,1,Suspense,,,,Movie2021
s1967,Movie,Kapatadhaari,India,2021,NR,Suspense,A passionate traffic police who is bored of his routine job stumbles across some skeletons which ignite his soulless life. When he probes into the case he comes across a cop who had investigated the case in the past.,India,,,,,1,Suspense,,,,Movie2021
s1971,Movie,Kalank,India,2019,13+,"Drama, International, Romance","Set in 1945, in Pre-Independent India, ‘Kalank’ is the story of a vivid and ethereal world, lost when the fire of Partition engulfs the city and the country. It’s the story of the shades of Reds in their lives as they yearn for hues of love while Husnabad gets soaked in the reds of violence and revenge.",India,,,,,1,Drama,International,Romance,,Movie2019
s1974,Movie,Kadaikutty Singam,India,2018,ALL,"Action, Adventure, Drama","Gunasingam, a family-loving farmer who hails from a small town, tries his best to keep his big family united.",India,,,,,1,Action,Adventure,Drama,,Movie2018
s1977,Movie,Kabadadaari (4K UHD),India,2021,16+,Suspense,A passionate traffic police who is bored of his routine job stumbles across some skeletons which ignite his soulless life. When he probes into the case he comes across a cop who had investigated the case in the past.,India,,,,,1,Suspense,,,,Movie2021
s1978,Movie,Kabadadaari,India,2021,16+,Suspense,A passionate traffic police who is bored of his routine job stumbles across some skeletons which ignite his soulless life. When he probes into the case he comes across a cop who had investigated the case in the past.,India,,,,,1,Suspense,,,,Movie2021
s2026,TV Show,Jim Gaffigan: The Pale Tourist,United States,2020,13+,"Arts, Entertainment, and Culture, Comedy","Jim Gaffigan boldly goes where no stand-up comedian has gone before: everywhere! During the Pale Tourist global tour, Jim traveled the world meeting locals and learning about their culture. He then transformed those experiences into stand-up sets of all-new material specific to each country he visited. Watch as Jim brings his relatable brand of comedy to Spain and Canada in these two new specials.",United States,,,,,1,Arts,Entertainment and Culture,Comedy,,TV Show2020
s2033,TV Show,Jestination Unknown,India,2019,16+,"Arts, Entertainment, and Culture, Comedy, Unscripted","Vir Das travels across India with his friends to answer the question: ""What does India find funny?"" In Patiala, they explore comedy and clichés. In Lucknow, the hasya kavis give a masterclass. In Jodhpur, the city welcomes new jesters. In Mysore, a Mysore joke is written. In Kumarakom, comedy after tragedy is explored. In Leh, even the people in the harshest region of the country laugh.",India,,,,,1,Arts,Entertainment and Culture,Comedy,Unscripted,TV Show2019
s2048,TV Show,Jean Claude Van Johnson,United States,2017,16+,"Action, Comedy","What if I told you that Jean-Claude Van Damme - yes, THAT Jean-Claude Van Damme - was, in fact, a secret agent? That his entire film career was built solely as a front for his black ops? Would you believe me? No? Well then that’s egg on your face because that’s what this show is about.",United States,,,,,1,Action,Comedy,,,TV Show2017
s2060,TV Show,James May: Our Man in Japan,United Kingdom,2020,13+,Documentary,"James May embarks on a remarkable journey across Japan, from its icy north to its balmy south. He’ll see the sights, meet the locals, and eat the noodles in a bid to truly understand the Land of the Rising Sun.",United Kingdom,,,,,1,Documentary,,,,TV Show2020
s2061,TV Show,James May: Oh Cook,United Kingdom,2020,13+,Unscripted,"James May is not a chef. But that’s the whole point: you don’t need to be a brilliant cook to make delicious food. Transporting us to the Far East, the Med, and the local pub – all from the comfort of a home economist’s kitchen – he’ll knock up delicious recipes that you can actually make yourself, with ingredients you can actually buy. And all without the usual television cooking format trickery.",United Kingdom,,,,,1,Unscripted,,,,TV Show2020
s2080,Movie,Ishqeria,India,2018,13+,"Comedy, Drama, International","Ishqeria is a story of a small town girl who falls madly in love with the most sought after guy in college. It is a journey of first love, growing up and second chances.",India,,,,,1,Comedy,Drama,International,,Movie2018
s2081,Movie,Ishq,India,2019,13+,"Drama, International, Suspense","ISHQ is the story of Sachi and Vasudha,two young lovers who went for a romantic interlude one night. During the journey, how fate plays spoilsport and how a normal journey can turn into terror and what impact that incident stamps on their life forms the crux of the story. The movie deals with the issue of moral policing which is rampant in present day India.",India,,,,,1,Drama,International,Suspense,,Movie2019
s2082,Movie,Ishaqzaade,India,2012,PG,International,"Rising from the ashes of hooliganism & small town clan wars, comes the love story of a passion ignited by hatred. Of two people. Born to hate. Destined to love. A story about two fiery bloods played by Arjun Kapoor & Parineeti Chopra, and their fight for power & supremacy. A story about love brewing in the often unrealistic and daunting political confines of rural India. A story called ISHAQZAADE.",India,,,,,1,International,,,,Movie2012
s2096,Movie,Instant Death,United Kingdom,2017,18+,Action,"A gang war for drug dominance draws in a disturbed Special Forces veteran John Bradley. The underworld's retribution on his last connection to humanity, a daughter and grandchild leads to a descent of fury and violence.",United Kingdom,,,,,1,Action,,,,Movie2017
s2103,TV Show,Inside Edge,India,2019,18+,"Drama, International, Sports","In the next edition of the PPL, a volatile Vayu Raghavan leads the Mumbai Mavericks to face their biggest adversary yet, the Arvind Vashisht-led Haryana Hurricanes. But they must also counter colossal scandals that’ll rock the world of cricket. In the sport’s upper echelons, Zarina Malik allies with Bhaisaab, but those in the shadows threaten to destroy the very game they seek to control.",India,,,,,1,Drama,International,Sports,,TV Show2019
s2113,Movie,Inconceivable,"United Kingdom, United States",2017,R,Suspense,"Starring Nicolas Cage, Gina Gershon, Nicky Whelan, and Faye Dunaway, this dark thriller depicts a wealthy couple that shelters a young runaway mother, dangerously unaware of the woman's dark past.",United Kingdom,United States,,,,2,Suspense,,,,Movie2017
s2150,TV Show,I Love Dick,United States,2017,18+,"Comedy, Drama, Romance","Adapted from the lauded feminist novel, I LOVE DICK is set in a colorful academic community in Marfa, Texas. It tells the story of a struggling married couple, Chris and Sylvere, and their obsession with a charismatic professor named Dick. Told in Rashomon-style shifts of POV, I LOVE DICK charts the unraveling of a marriage, the awakening of an artist and the deification of a reluctant messiah.",United States,,,,,1,Comedy,Drama,Romance,,TV Show2017
s2164,TV Show,Hunters,United States,2020,18+,"Adventure, Drama","Inspired by true events, HUNTERS follows a diverse band of Nazi Hunters in 1977 New York City who discover that hundreds of escaped Nazis are living in America. And so, they do what any bad-ass vigilante squad would do: they set out on a bloody quest for revenge and justice. But they soon discover a far-reaching conspiracy and must race against time to thwart the Nazis’ new genocidal plans.",United States,,,,,1,Adventure,Drama,,,TV Show2020
s2181,Movie,Hotel Coolgardie,Australia,2017,13+,Documentary,"In remotest red-dust Australia is the sleepy mining town of Coolgardie. When two Finnish girls take jobs in the town's pub, they find themselves in a trial of endurance, and soon realise that pouring pints is the least of their work. Amusing, disturbing, and thoroughly bizarre, this candid documentary reveals the struggles of adapting to life in an insular community.",Australia,,,,,1,Documentary,,,,Movie2017
s2185,Movie,Hostile Border,United States,2016,R,"Action, Drama, Western","When she's deported to México, Claudia must choose between reconciling with her estranged father or partnering with a dangerous smuggler to return to the U.S.",United States,,,,,1,Action,Drama,Western,,Movie2016
s2193,Movie,Honest Thief,United States,2020,PG-13,"Action, Suspense","Wanting to lead an honest life, a notorious bank robber (Liam Neeson) turns himself in, only to be double-crossed by two ruthless FBI agents.",United States,,,,,1,Action,Suspense,,,Movie2020
s2196,TV Show,Homecoming,United States,2020,16+,"Drama, Suspense","START WITH SEASON TWO and experience a new mystery when Jackie (Janelle Monáe) finds herself floating in a boat in the middle of a lake, with no memory of how she got there – or even who she is. Her search for identity will lead her into the heart of the Geist Group, an unconventional wellness company behind the controversial Homecoming Initiative.",United States,,,,,1,Drama,Suspense,,,TV Show2020
s2222,Movie,Hero,India,2019,16+,"Action, Drama, International","Set in Chennai sub-urbs, the story of ‘HERO’ missions a racy journey of Sakthi (Sivakarthikeyan) who takes it upon himself to safeguard the current education system, one that could potentially be the most rewarding to all stakeholders in society, from the ensuing conflicts that erupts between him and Mahadev (Abhay Deol), the gatekeeper of corporate lobbying.",India,,,,,1,Action,Drama,International,,Movie2019
s2229,Movie,Hello Guru Prema Kosame,India,2018,13+,"International, Romance","After a rocky start, a friendship develops between a happy-go-lucky youth and a girl from the city.",India,,,,,1,International,Romance,,,Movie2018
s2267,TV Show,Hand Of God,United States,2017,18+,"Drama, Suspense","The hard-living, law-bending king of San Vicente, Pernell Harris, has finally hit bottom as he faces trial for the murder of a cop. Pernell’s visions and his dead son will slowly lead him through a conspiracy that is bigger than he could have imagined, but will threaten his relationship with his wife and everything he holds dear, forcing him to fight for both his sanity and his freedom.",United States,,,,,1,Drama,Suspense,,,TV Show2017
s2274,Movie,Gumnaami - Hindi,India,2020,13+,"Drama, Suspense","How did Netaji disappear? This Bengali film raises the question, based on the Mukhejee Commission Hearings.",India,,,,,1,Drama,Suspense,,,Movie2020
s2276,Movie,Gulabo Sitabo (4K UHD),India,2020,16+,International,"Set in present day Lucknow (India), Gulabo Sitabo is a social satire about two impossibly peculiar human beings - Mirza Chunnan Nawab, who stays in a dilapidated mansion and one of the tenants, Baankey Rastogi. The mansion may have seen many dramas unfold over a century of its existence, but still has a final act left as the drama of battle of ownership unfolds, with a priceless lesson to teach.",India,,,,,1,International,,,,Movie2020
s2286,Movie,Grinders,"Canada, United States",2011,13+,Documentary,"Matt Gallagher finds himself in Toronto's illegal poker clubs every night. They are a world of wild characters, fuelled by addiction and one-upmanship. Matt, out-of-work and with a new baby and wife to support, must put everything he has on the line to bring home the daily bread. But as the stakes rise ever higher, Matt soon discovers that the real meaning of risk lies far beyond the poker room.",Canada,United States,,,,2,Documentary,,,,Movie2011
s2289,Movie,Griefwalker,Canada,2008,16+,Documentary,"An extraordinary portrait of Harvard-trained theologian Stephen Jenkinson, who teaches that death empowers us to live and that we must know grief well in order to appreciate our own lives. Many may find Jenkinson's belief that our deaths are not something to be denied or avoided but 'befriended' as challenging; he points out that not every culture fears death as we do.",Canada,,,,,1,Documentary,,,,Movie2008
s2292,Movie,Green is Gold,United States,2016,R,"Arts, Entertainment, and Culture, Drama, Young Adult Audience","A thirteen year old boy is forced to live with his estranged brother after their father is sent to prison. Their relationship is soon tested when the older brother's occupation as a marijuana dealer infringes on his ability not only to raise his brother, but to even take care of himself. Through their tribulations, they discover that by working together they can beat the odds.",United States,,,,,1,Arts,Entertainment and Culture,Drama,Young Adult Audience,Movie2016
s2300,TV Show,Grand Prix Driver,United States,2018,7+,"Documentary, Sports","This series offers unprecedented access to FORMULA ONE racing, a highly secretive and competitive world. It follows McLaren, one of the sport’s most successful teams, during the 2017 pre-season as they gear up for their first race in Melbourne. After three tough years without a win, McLaren is hopeful that they will be back on top with their promotion of rookie driver, Stoffel Vandoorne.",United States,,,,,1,Documentary,Sports,,,TV Show2018
s2304,Movie,Goyenda Junior,India,2019,ALL,"International, Suspense","Bikram (Rwitobroto Mukherjee), a teenage boy, spends his days mooning over his crush Tuki (Anusha Viswanathan), and reading lots of crime fiction. An odd twist of events leads Bikram on a quest to solve the perfect crime - a murder cleverly disguised as a natural death !",India,,,,,1,International,Suspense,,,Movie2019
s2306,TV Show,Gortimer Gibbon's Life on Normal Street,United States,2016,7+,Kids,"As the series comes to a close, Gortimer, Mel and Ranger grow closer than ever, even as growing up threatens to pull them apart. Their adventures on Normal Street continue as Mel learns the consequences of overextending herself, Ranger takes on other people's problems while ignoring his own, and Gortimer grapples with the greatest challenge of all: leaving Normal Street",United States,,,,,1,Kids,,,,TV Show2016
s2311,Movie,Goodachari,India,2018,18+,"International, Suspense","After being trained in an ultra competitive secret service program, Arjun, A young agent is framed for the murder of his bosses, suddenly turning him into India's most wanted criminal. Who framed him? And why? For someone who was taught that the 'mission' is everything, Arjun now realizes that now his mission is darker than expected.",India,,,,,1,International,Suspense,,,Movie2018
s2312,TV Show,Good Omens,"United Kingdom, United States",2019,16+,"Comedy, Drama, Fantasy","The End of the World is coming, which means a fussy Angel and a loose-living Demon who’ve become overly fond of life on Earth are forced to form an unlikely alliance to stop Armageddon. But they have lost the Antichrist, an 11-year-old boy unaware he’s meant to bring upon the end of days, forcing them to embark on an adventure to find him and save the world before it’s too late.",United Kingdom,United States,,,,2,Comedy,Drama,Fantasy,,TV Show2019
s2314,TV Show,Good Girls Revolt,United States,2016,18+,Drama,"In 1969, while a cultural revolution swept through the free world, there was still one place that refused to change with the times: newsrooms. Good Girls Revolt follows a group of young female researchers at ""News of the Week,"" who ask to be treated fairly. Their revolutionary request sparks convulsive changes and upends marriages, careers, sex lives, love lives, and friendships.",United States,,,,,1,Drama,,,,TV Show2016
s2337,Movie,Gleason,United States,2016,R,"Documentary, Sports","At the age of 34, Steve Gleason, former NFL defensive back and New Orleans hero, was diagnosed with ALS. Doctors gave him two to five years to live. So that is what Steve chose to do: live. This film incorporates personal video journals from Gleason for his then-unborn son to footage of his adventures undertaken as part of his mission to live his life to the fullest.",United States,,,,,1,Documentary,Sports,,,Movie2016
s2339,Movie,Girlz,India,2019,13+,"Comedy, Drama","An 18 year teenager Mati, wants to live a bold life like many other girls. Her mother realizes this & imposes restrictions on her. She feels dejected and thinks her life has become boring and worthless. She embarks on a solo trip to Goa & makes friends with two more young girls of her age, who comes from different family backgrounds.",India,,,,,1,Comedy,Drama,,,Movie2019
s2350,Movie,Gimme Danger,United States,2016,R,"Documentary, Music Videos and Concerts, Special Interest","Jim Jarmusch’s new film GIMME DANGER chronicles the story of The Stooges, one of the greatest rock-n-roll bands of all time.",United States,,,,,1,Documentary,Music Videos and Concerts,Special Interest,,Movie2016
s2360,Movie,Ghawre Bairey Aaj,India,2019,16+,Drama,"A modern retelling of Rabindranath Tagore's classic novel, the film chronicles a triangular love story which is as much a story of passionate romance as it is of clashing ideologies.",India,,,,,1,Drama,,,,Movie2019
s2365,Movie,Get Duked!,United Kingdom,2020,16+,"Adventure, Comedy","Get Duked is an anarchic, hip-hop inspired comedy that follows four city boys on a wilderness trek as they try to escape a mysterious huntsman.",United Kingdom,,,,,1,Adventure,Comedy,,,Movie2020
s2370,Movie,Generation Wealth,United States,2018,18+,"Arthouse, Documentary","Lauren Greenfield’s postcard from the edge of the American Empire captures a portrait of a materialistic, image-obsessed culture. Simultaneously personal journey and historical essay, the film bears witness to the global boom–bust economy, the corrupted American Dream, and the human costs of late stage capitalism, narcissism, and greed.",United States,,,,,1,Arthouse,Documentary,,,Movie2018
s2372,Movie,Generation Aami,India,2018,13+,"Arts, Entertainment, and Culture, Drama, International","This is a coming-of-age story of friendship, parenting, growing up and finding yourself. A 17-year-old boy's relationship with his parents is tested as he discovers teenage rebellion and fun in the company of a cool but troubled 19-year-old girl who shakes things up giving him the courage to be true to himself.",India,,,,,1,Arts,Entertainment and Culture,Drama,International,Movie2018
s2382,Movie,Gascoigne,United Kingdom,2015,16+,Documentary,"Celebrating the life and achievements of naturally gifted Paul Gascoigne, a legendary young English soccer player who won the hearts of the English nation. From his humble beginnings through to his international stardom within the football world .The documentary features interviews with soccer legends Vinnie Jones, Gary Lineker, José Mourinho and Wayne Rooney.",United Kingdom,,,,,1,Documentary,,,,Movie2015
s2392,Movie,Gangsta,Belgium,2018,18+,"Action, Suspense","The lives of four dealer friends spin out of control when they steal a shipment of cocaine. They trigger a full out war between them, an Amsterdam drug lord and the Colombian cartels.",Belgium,,,,,1,Action,Suspense,,,Movie2018
s2425,Movie,French Biriyani,India,2020,16+,"Action, Comedy","Simon, representative of a drug company from France and Asgar, local auto driver from Shivajinagar, share a two-day long journey in Bengaluru. That twisted journey with comedy of errors changes the way they look at life.",India,,,,,1,Action,Comedy,,,Movie2020
s2427,TV Show,Free Meek,United States,2019,18+,"Documentary, Drama, Special Interest","This intimate documentary series chronicles Meek Mill’s transformation from chart-topping rapper to galvanizing face of criminal justice reform. As Meek, his family and his legal team fight for his freedom, cameras capture the birth of the #FREEMEEK movement and re-investigate a case filled with allegations of dirty cops, planted evidence and systemic corruption within a broken judicial system.",United States,,,,,1,Documentary,Drama,Special Interest,,TV Show2019
s2435,TV Show,Four More Shots Please!,India,2020,16+,"Comedy, Drama, International","Four best friends will cuddle up again and tell the world to sit up and pay a little more attention to what women truly want. Girls will always be girls around their girls – the problems remain simple yet complicated and funny to each other. They will make new mistakes, but love each other little more fiercely and choose themselves over society's expectations.",India,,,,,1,Comedy,Drama,International,,TV Show2020
s2444,TV Show,Forever,United States,2018,16+,"Comedy, Romance","Married couple June and Oscar live a comfortable but predictable life in suburban California.  For years they've had the same conversations, eaten the same meals and taken pleasant vacations at the same rented lake house.  But after June talks Oscar into shaking things up with a ski trip, the pair suddenly find themselves in completely unfamiliar territory.",United States,,,,,1,Comedy,Romance,,,TV Show2018
