show_id,type,title,country,release_year,rating,listed_in,description,country_1,country_2,country_3,country_4,country_5,country_count,listed_in_1,listed_in_2,listed_in_3,listed_in_4,typeyears
s256,TV Show,Truth Seekers,"United Kingdom, United States",2020,16+,Comedy,"Broadband installer by day, paranormal investigator by night, Gus is annoyed to be partnered with “noob” Elton, but comes to appreciate having someone along for the ride as they uncover a spike in supernatural activity. They’re soon joined by Astrid, who has ghost problems of her own, and the gang embark upon creating a ghost-hunting YouTube channel, uncovering a terrifying conspiracy as they go.",United Kingdom,United States,,,,2,Comedy,,,,TV Show2020
s262,Movie,Tropic Thunder,"United States, United Kingdom, Germany",2008,R,"Action, Comedy","Ben Stiller, Jack Black and Robert Downey Jr. lead an ensemble cast in 'Tropic Thunder,' an action comedy about a group of self-absorbed actors who set out to make the most expensive war film.",United States,United Kingdom,Germany,,,3,Action,Comedy,,,Movie2008
s264,Movie,Triple Seat (4K UHD),India,2019,NR,"Comedy, International","A young, happy couple`s life gets turned upside down when the guy receives a call from an unknown woman who claims to be in danger. A new take on the classic love triangle, Triple Seat brings to you a light-hearted story about wireless love.",India,,,,,1,Comedy,International,,,Movie2019
s270,TV Show,Transparent,United States,2019,18+,"Comedy, Drama, LGBTQ","THE TRANSPARENT MUSICALE FINALE takes the beloved Emmy and Golden Globe award-winning series TRANSPARENT to new heights as a dazzling two-hour movie musical fantasia. When the Pfeffermans face a life-changing loss, they begin a journey hilarious and melancholy, brazen and bold. As they face this new transition, they confront grief and come together to celebrate connection, joy, and transformation.",United States,,,,,1,Comedy,Drama,LGBTQ,,TV Show2019
s272,Movie,Transit,United States,2012,R,"Action, Drama, Suspense",The camping trip was meant to reunite the Sidwell family...it's not. When they are hunted and terrorized by violent bank robbers their very survival will depend on working together.,United States,,,,,1,Action,Drama,Suspense,,Movie2012
s281,Movie,Touch Chesi Chudu,India,2018,13+,"Drama, International, Romance","Karthikeya(Ravi Teja) is a businessman who keeps his family first before anything. He has a tough time convincing Pushpa(Raashi Khanna) whom he met in a match making, to marry him and when things seem to be going fine, he suddenly comes across Irfan, a criminal with whom he shares a dreaded past. Who is Irfan? What is the past that connects both of them? What is the shocking fact revealed later?",India,,,,,1,Drama,International,Romance,,Movie2018
s284,Movie,Tortilla Soup,United States,2002,PG-13,"Comedy, Drama, Romance",A Mexican-American master chef and father to three daughters has lost his taste for food but not for life.,United States,,,,,1,Comedy,Drama,Romance,,Movie2002
s294,TV Show,Too Old to Die Young,United States,2019,18+,TV Shows,"In one tragic night, Los Angeles County Sheriff's Deputy Martin Jones's life is blown apart, and he is forced into a deadly underground of Cartel soldiers, Yakuza assassins, and mysterious vigilantes. Soon he finds himself lost on a surreal odyssey of murder, mysticism and vengeance, as his past sins close in on him.",United States,,,,,1,TV Shows,,,,TV Show2019
s310,TV Show,Tom Clancy's Jack Ryan,United States,2019,16+,"Action, Drama, Suspense","After tracking a suspicious shipment in the Venezuelan jungle, Jack Ryan heads to South America to investigate. As Jack threatens to uncover a far-reaching conspiracy, the President of Venezuela launches a counter-attack that hits home, leading Jack on a mission spanning the US, UK, Russia, and Venezuela to unravel the President's plot and bring stability to a country on the brink of chaos.",United States,,,,,1,Action,Drama,Suspense,,TV Show2019
s312,TV Show,Tokyo Vampire Hotel,Japan,2018,18+,"Fantasy, Horror, International","Manami goes out to celebrate her 22nd birthday with friends and narrowly misses being killed in a murder rampage. Manami runs for her life but is chased by K, a member of the Dracula clan, and Yamada, a Corvin, AKA Neo Vampire. Manami is the one prophesied to rescue the Dracula clan. What is K's mission? And Manami's fate? The battle between humans, Vampires and Neo Vampires begins. ©2017NIKKATSU",Japan,,,,,1,Fantasy,Horror,International,,TV Show2018
s314,TV Show,Tokyo Alice,Japan,2019,13+,"Drama, Romance","This is the story of the real-life, high-end romances of four former classmates. It follows the love, work and interests of the four protagonists, Fu, Mizuho, Sayuri and Ryo. Amazon Original ""Tokyo Alice"" Author: Toriko Chiya (Kodansha ""Kiss"")",Japan,,,,,1,Drama,Romance,,,TV Show2019
s339,Movie,Tiger Zinda Hai,India,2017,13+,"Action, Drama, International","When a group of Indian and Pakistani nurses are held hostage in Iraq by the militant Abu Usman, Indian intelligence (RAW) tracks down the reclusive agent Tiger 8 years after he fled with former Pakistani intelligence (ISI) agent Zoya. Joining forces in the name of humanity, Tiger and Zoya lead a team of RAW and ISI agents to covertly enter the hospital where the nurses are trapped.",India,,,,,1,Action,Drama,International,,Movie2017
s341,Movie,Ticker,United States,2001,R,"Action, Adventure, Suspense","When a mad bomber (Dennis Hopper) descends on San Francisco, it's up to two men to uncover his plot and find the massive bomb hidden somewhere in the city.",United States,,,,,1,Action,Adventure,Suspense,,Movie2001
s363,TV Show,This is Football,United States,2019,13+,"Documentary, Sports, Unscripted","An emotionally-charged, six-part documentary, exploring football's extraordinary impact on the world. From the streets of Delhi to the fields of post-war Rwanda to the pitches of the Champions League, this globe-spanning series tells a unique story of the game and its power to unite countries, inspire generations and captivate billions.",United States,,,,,1,Documentary,Sports,Unscripted,,TV Show2019
s364,TV Show,This Giant Beast That Is The Global Economy,United States,2019,16+,"Documentary, Special Interest","This docuseries brings the smart, stylized storytelling of Adam McKay’s The Big Short to a quirky and compelling exploration of the global economy. In each episode, host Kal Penn – with the help of some celebrity friends – answers a burning question like: How can I launder a bag of dirty cash? How scared should I be of a rubber apocalypse? And is it easier for dicks to get rich?",United States,,,,,1,Documentary,Special Interest,,,TV Show2019
s366,Movie,Think Like a Dog (4K UHD),"China, United States, United Kingdom",2020,PG,"Comedy, Kids","After a 12-year-old tech prodigy's science experiment goes awry, he forges a telepathic connection with his best friend and dog, Henry, in this whimsical family comedy.",China,United States,United Kingdom,,,3,Comedy,Kids,,,Movie2020
s367,Movie,Think Like a Dog,"China, United States, United Kingdom",2020,PG,"Comedy, Kids","After a 12-year-old tech prodigy's science experiment goes awry, he forges a telepathic connection with his best friend and dog, Henry, in this whimsical family comedy.",China,United States,United Kingdom,,,3,Comedy,Kids,,,Movie2020
s374,Movie,The Zookeeper,"Denmark, United Kingdom, Czech Republic, Netherlands",2001,13+,Drama,"In the midst of a devastating civil war in an Eastern European country, a disillusioned ex-Communist is left behind to take care of the animals in the capital's zoological gardens until a U.N. rescue force arrives.",Denmark,United Kingdom,Czech Republic,Netherlands,,4,Drama,,,,Movie2001
s375,Movie,The Zombie King,United Kingdom,2013,16+,"Comedy, Horror","After heartbroken widower Samuel makes a deal with Kalfu, the god of Malevolence. This allows Samuel to live with his dead wife as a zombie, and leads to the destruction of the underworld.",United Kingdom,,,,,1,Comedy,Horror,,,Movie2013
s393,TV Show,The Wilds,United States,2020,16+,"Drama, Suspense, Young Adult Audience","A group of teen girls from different backgrounds must fight for survival after a plane crash strands them on a deserted island. The castaways both clash and bond as they learn more about each other, the secrets they keep, and the traumas they've all endured. There’s just one twist to this thrilling drama… these girls did not end up on this island by accident.",United States,,,,,1,Drama,Suspense,Young Adult Audience,,TV Show2020
s394,Movie,The Wild Horse Redemption,Canada,2007,13+,"Documentary, Special Interest","At a prison in the high desert foothills of the Colorado Rocky Mountains, hardened criminals are taught the training methods of ""horse whisperers"" and given 90 days to tame wild mustangs taken from the herd that roams government lands. Failure means one more defeat for the inmate; success could save both lives.",Canada,,,,,1,Documentary,Special Interest,,,Movie2007
s398,Movie,The Wereth Eleven,United States,2011,13+,"Documentary, Military and War","During World War II, 1.2 million African-Americans served in America's Armed Forces. Fully 125,000 served overseas. 708 were killed. Among these were The Wereth Eleven. Their story was lost to history. Until now.",United States,,,,,1,Documentary,Military and War,,,Movie2011
s399,Movie,The Wedding Year,United States,2019,R,Comedy,A commitment-phobic 27-year old's relationship is put to the test when she and her boyfriend attend 7 weddings in the same year.,United States,,,,,1,Comedy,,,,Movie2019
s403,Movie,The Vast of Night,United States,2020,PG-13,"Drama, Science Fiction, Suspense","In the twilight of the 1950s, on one fateful night in New Mexico, a young switchboard operator Fay (Sierra McCormick) and charismatic radio DJ Everett (Jake Horowitz) discover a strange audio frequency that could change their small town and the future forever.",United States,,,,,1,Drama,Science Fiction,Suspense,,Movie2020
s405,TV Show,The Underground Railroad,United States,2021,TV-MA,Drama,"Coming soon to Prime Video: May 14. The Underground Railroad follows Cora, a young enslaved woman who embarks on a heart-wrenching, history bending journey to freedom, while being pursued by a dangerous slave catcher, Ridgeway. On her strenuous journey of growth and perseverance, Cora encounters a mysterious subterranean railroad, and the timeless truths about what it means to be Black in America.",United States,,,,,1,Drama,,,,TV Show2021
s420,TV Show,The Tick,United States,2019,18+,"Action, Comedy","Tick and Arthur have freed the City from The Terror - now they must defend it from new villains and old enemies. That is if they can convince AEGIS, the government agency in charge of superhero regulation, that they deserve the job. But now that the City is ‘safe enough to protect’ Tick and Arthur begin to see they’ve got competition...",United States,,,,,1,Action,Comedy,,,TV Show2019
s437,TV Show,The Stinky & Dirty Show,United States,2019,ALL,Kids,"Best friends Stinky the garbage truck and Dirty the backhoe loader return for more resourcefulness and whimsical adventures – all inspired by using what’s around them and asking the question: “What if…?” Based on books by Jim and Kate McMullan with original music from Dan Bern and featuring celebrity voices like Whoopi Goldberg, Jane Lynch, Andy Richter, Joan Cusack and Wallace Shawn.",United States,,,,,1,Kids,,,,TV Show2019
s465,TV Show,The Romanoffs,United States,2018,16+,Drama,"From the creator of Mad Men, The Romanoffs is a contemporary anthology series set around the globe featuring eight separate stories about people who believe themselves to be descendants of the Russian royal family. Starring Aaron Eckhart, Diane Lane, Isabelle Huppert, Christina Hendricks, John Slattery, Amanda Peet, Jack Huston, Kathryn Hahn, Noah Wyle, Paul Reiser, Andrew Rannells and more.",United States,,,,,1,Drama,,,,TV Show2018
s470,TV Show,The Remix,India,2018,13+,"International, Music Videos and Concerts, Unscripted","The Remix is the new sound of Indian music! On this music competition show, some of the coolest musicians rejig, reshuffle and remix popular Bollywood songs. A singer and DJ team up to create a fresh spin culminating in a musical extravaganza. The 10 teams give it their all to put out riveting performances to impress the celebrity judges: Sunidhi Chauhan, Amit Trivedi and Nucleya!",India,,,,,1,International,Music Videos and Concerts,Unscripted,,TV Show2018
s543,TV Show,The Marvelous Mrs. Maisel,United States,2019,16+,"Comedy, Drama","Midge and Susie discover that life on tour with Shy is glamorous but humbling, and they learn a lesson about show business they’ll never forget. Joel struggles to support Midge while pursuing his own dreams. Abe embraces a new mission and Rose learns she has talents of her own.",United States,,,,,1,Comedy,Drama,,,TV Show2019
s547,TV Show,The Man In the High Castle,"United States, United Kingdom, Canada",2019,18+,"Action, Drama, Historical","In the climactic final season, America will witness rebellion on both coasts as Juliana and Wyatt join forces with an emerging Black insurgency led by Bell Mallory. Takeshi Kido will be forced to reckon with the demons of his past, and John and Helen Smith’s lives will be forever changed after Smith steps through the Die Nebenwelt portal and travels the path not taken.",United States,United Kingdom,Canada,,,3,Action,Drama,Historical,,TV Show2019
s565,Movie,The Legend of Swee' Pea,United States,2020,18+,"Documentary, Sports","A ""mystical understanding of the game"" made Lloyd ""Swee' Pea"" Daniels a New York City basketball legend by the age of 16. Christened the ""next Magic Johnson"", his career effectively ended at age 21 after being shot 3 times in the chest after a tussle over $8 of cocaine. The Legend of Swee' Pea follows the twists and turns of fortune in the life of a basketball prodigy.",United States,,,,,1,Documentary,Sports,,,Movie2020
s572,Movie,The Last Sharknado: It's About Time,United States,2018,13+,"Action, Science Fiction","Determined to bring his family back to life, Gil sends his father Fin back in time to stop the Sharknados from starting. Along the way, he fights dinosaurs, knights, cowboys, and a robot version of his wife. This time - it's not how to stop the Sharknados, but when.",United States,,,,,1,Action,Science Fiction,,,Movie2018
s575,TV Show,The Last Narc,United States,2020,16+,Documentary,"In 1985, American DEA agent Enrique “Kiki” Camarena was kidnapped, tortured, and murdered by Mexico’s most notorious drug lords. Thirty-five years later, three former cartel insiders share unprecedented details. This is the story of Camarena, the drug cartel he infiltrated, and the narc who risked everything to discover the truth.",United States,,,,,1,Documentary,,,,TV Show2020
s579,Movie,The Last Black Man in San Francisco (4K UHD),United States,2019,R,"Arthouse, Arts, Entertainment, and Culture, Drama","Jimmie and his best friend Mont try to reclaim the home built by his grandfather, launching them on a poignant odyssey to find a place to call home.",United States,,,,,1,Arthouse,Arts,Entertainment and Culture,Drama,Movie2019
s590,TV Show,The Kicks,United States,2016,ALL,Kids,"Devin Burke and her family have moved cross-country to California and now must adjust to a new life and a new soccer team. The Kentville Kicks don't quite play up to the standard that Devin is used to, so she must establish herself as a leader while also trying to make friends in a strange place.",United States,,,,,1,Kids,,,,TV Show2016
s608,Movie,The Immortalists,"United Kingdom, United States, India",2014,7+,"Documentary, Special Interest","What would the world look like if humans never grew old? Two eccentric biologists are determined to find out. In this larger-than-life doc, Bill Andrews and Aubrey de Grey leave behind the journals and peer reviews of the scientific establishment to embark on a quest for the age-old secret of eternal youth.",United Kingdom,United States,India,,,3,Documentary,Special Interest,,,Movie2014
s613,Movie,The Hungry,"United Kingdom, India",2017,18+,"Drama, International","THE HUNGRY follows Tulsi Joshi, a widow and bride to be who comes to her own wedding seeking revenge for the brutal murder of her first born son. Based on Shakespeare’s Titus Andronicus, THE HUNGRY is about the violence that exists between power and love - a macabre fairytale set in the elite circles of north India.",United Kingdom,India,,,,2,Drama,International,,,Movie2017
s620,Movie,The Hollow Child,Canada,2018,16+,Horror,"Highly intelligent and malicious creatures known as The Hollow Ones live in the woods and entice children with their hypnotic folklore music. Samantha, a young foster teen, must fight to expose these dangerous supernatural impostors to save her younger sister who has been taken, otherwise her soul will be lost forever.",Canada,,,,,1,Horror,,,,Movie2018
s635,TV Show,The Great Escapists,United States,2021,13+,Unscripted,"In this season Richard Hammond and Tory Belleci use what’s left of their shipwreck to survive and thrive. Using their engineering know how, the boys try to escape the island and even make their island life better. From a fully working tank to a three-story treehouse on the seafront, life is pretty sweet. But will their inventions help them escape, or keep them stuck forever in paradise?",United States,,,,,1,Unscripted,,,,TV Show2021
s638,TV Show,The Grand Tour,"United Kingdom, United States",2020,16+,"Comedy, Documentary, Sports","The intrepid trio find themselves back on four wheels for their latest adventure. Armed with sports cars, Richard, James and Jeremy think they are in for a cushy road trip as they arrive on the exotic island of Reunion and race on the world’s most expensive piece of tarmac. But a bizarre challenge propels them to Madagascar where they must tackle the world’s toughest road.",United Kingdom,United States,,,,2,Comedy,Documentary,Sports,,TV Show2020
s657,Movie,The Flaw,United Kingdom,2011,13+,Special Interest,"The definitive doc on the 2008 financial crash - The Flaw goes beyond easy explanations of greedy bankers and incompetent regulators its investigation goes to the root causes of the USA's and UK's deluded belief that everyone could be rich and property prices would rise forever, and asks the question: why are the perpetrators of the mess now entrusted with the lucrative task of clearing it up?",United Kingdom,,,,,1,Special Interest,,,,Movie2011
s667,Movie,The Farewell (4K UHD),"United States, China",2019,13+,"Arthouse, Arts, Entertainment, and Culture, Comedy","In this funny, heartfelt story, Billi’s (Awkwafina) family returns to China under the guise of a fake wedding to stealthily say goodbye to their beloved matriarch – the only person that doesn’t know she only has a few weeks to live.",United States,China,,,,2,Arthouse,Arts,Entertainment and Culture,Comedy,Movie2019
s677,TV Show,The Expanse,"Canada, United States",2021,16+,"Action, Science Fiction","In different parts of the Solar System, the crew of the Rocinante and their allies confront the sins of their past, while Marco Inaros unleashes an attack that will alter the future of Earth, Mars, the Belt, and the worlds beyond the Ring.",Canada,United States,,,,2,Action,Science Fiction,,,TV Show2021
s699,TV Show,The Dangerous Book for Boys,United States,2018,7+,Young Adult Audience,"The McKenna family must cope with the passing of its much-loved patriarch, Patrick. Hope appears in the form of a book called The Dangerous Book for Boys that Patrick created for his three sons. It becomes a how-to guide that inspires fantasies in his youngest son, Wyatt, enabling him to reconnect with his father and learn lessons that help him navigate real life.",United States,,,,,1,Young Adult Audience,,,,TV Show2018
s726,Movie,The Bridgewater Triangle,United States,2013,13+,Special Interest,"""The Bridgewater Triangle"" hosts an unusually high volume of reports involving strange happenings, baffling mysteries and sinister deeds. From ghostly hauntings and cryptid animal sightings, to UFO encounters and evidence of satanic ritual sacrifice, this 200-square mile region in Southeastern Massachusetts serves as one of the world's most diverse and well-known hotspots for paranormal activity",United States,,,,,1,Special Interest,,,,Movie2013
s731,TV Show,The Boys,United States,2020,18+,Action,"All Episodes Available. In a more intense Season 2 of THE BOYS, Butcher, Hughie and the team reel from their losses in Season 1. On the run from the law, they struggle to fight back against the Superheroes. Meanwhile Vought, the hero management company, cashes in on the panic over Supervillains, and a new hero, Stormfront, shakes up the company and challenges an already unstable Homelander.",United States,,,,,1,Action,,,,TV Show2020
s757,Movie,The Asian Connection,"United States, Thailand",2016,R,"Action, Suspense","Two American expatriates, Jack and Sam, unwittingly steal a drug lord's money when they rob a series of banks in Southeast Asia and become the target of the gang's vengeance. When Sam is killed, Jack turns to the love of his life, Pom, and the couple becomes a modern-day Bonnie and Clyde that takes the fight to the gang.",United States,Thailand,,,,2,Action,Suspense,,,Movie2016
s815,TV Show,Tandav,India,2021,16+,Drama,"Tandav is the coming together of different worlds under the gamut of politics. It is a dramatic take of the powerplay between people at the high level to secure their position. Youth plays a significant role in the story as we see where their future is headed in this dark abyss of politics. Catch Tandav in Tamil & Telugu, Feb 12 onwards.",India,,,,,1,Drama,,,,TV Show2021
s820,TV Show,Tales from the Loop,United States,2020,18+,Science Fiction,"Inspired by the wondrous paintings of Simon Stålenhag, Tales from the Loop explores the mind-bending adventures of the people who live above the Loop, a machine built to unlock and explore the mysteries of the universe – making things previously relegated to science fiction, possible.",United States,,,,,1,Science Fiction,,,,TV Show2020
